,Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
510,,,b.GEN.018.002,,,510,,,
511,,,b.GEN.018.003,,,511,,,
512,,,b.GEN.018.004,,,512,,,
513,,,b.GEN.018.005,,,513,,,
514,,,b.GEN.018.006,,,514,,,
515,,,b.GEN.018.007,,,515,,,
516,,,b.GEN.018.008,,,516,,,
517,,,b.GEN.018.009,,,517,,,
518,,,b.GEN.018.010,,,518,,,
519,,,b.GEN.018.011,,,519,,,
520,,,b.GEN.018.012,,,520,,,
521,,,b.GEN.018.013,,,521,,,
522,,,b.GEN.018.014,,,522,,,
523,,,b.GEN.018.015,,,523,,,
524,,,b.GEN.018.016,,,524,,,
525,,,b.GEN.018.017,,,525,,,
526,tierra,tierra,b.GEN.018.018,0.0,-90.0,526,,,
527,,,b.GEN.018.019,,,527,,,
528,,,b.GEN.018.020,,,528,,,
529,,,b.GEN.018.020,,,529,,,
530,,,b.GEN.018.021,,,530,,,
531,,,b.GEN.018.022,,,531,,,
532,,,b.GEN.018.023,,,532,,,
533,,,b.GEN.018.024,,,533,,,
534,tierra,tierra,b.GEN.018.025,0.0,-90.0,534,,,
535,,,b.GEN.018.026,,,535,,,
536,,,b.GEN.018.027,,,536,,,
537,,,b.GEN.018.028,,,537,,,
538,,,b.GEN.018.029,,,538,,,
539,,,b.GEN.018.030,,,539,,,
540,,,b.GEN.018.031,,,540,,,
541,,,b.GEN.018.032,,,541,,,
542,,,b.GEN.018.033,,,542,,,
543,,,b.GEN.019.001,,,543,,,
544,,,b.GEN.019.002,,,544,,,
545,,,b.GEN.019.003,,,545,,,
546,,,b.GEN.019.004,,,546,,,
547,,,b.GEN.019.005,,,547,,,
548,,,b.GEN.019.006,,,548,,,
549,,,b.GEN.019.007,,,549,,,
550,,,b.GEN.019.008,,,550,,,
551,,,b.GEN.019.009,,,551,,,
552,,,b.GEN.019.010,,,552,,,
