id	NormalizedName-sp	aclaration	variants	comments	book	cert	Gender	NormalizedName-ge	NormalizedName-po	type	nature	definition	importance	order-edition
#per469	Quelión				AT		male			person	human	defined		RUT
#per470	Amitai	padre de Jonás			AT		male			person	human	defined		JON
#per471	rey de Nínive				AT		male			person	human	defined		JON
#per472	Nitzevet	madre de David			AT		female			person	human	defined		SAL
#per473	salmista				AT		male			person	human	undefined		SAL
#per474	Asaf			???	AT		male			person	human	defined		SAL
#per475	Leviatán				AT		male			person	superior	defined		SAL
#per476	Teófilo				NT	medium	male			person	human	defined		ACT
#per477	Simón				NT		male			person	human	defined		MAT
#per478	José		Barsabás		NT		male			person	human	defined		ACT
#per479	Matías	Discípulo desde Hechos 1			NT		male			person	human	defined		ACT
#per480	Joel	profeta			AT		male			person	human	defined		ACT
#per481	Samuel	profeta			AT		male			person	human	defined	1	ACT
#per482	Alejandro	discípulo?		Separar en dos en capt. 4 y 19?	NT		male			person	human	defined		ACT
#per483	Bernabé	José			NT		male			person	human	defined		ACT
#per484	Ananías				NT		male			person	human	defined		ACT
#per485	Safira				NT		female			person	human	defined		ACT
