	weight	source	target
778	1	#org12	#pla84
62	1	#org526	#per483
61	1	#pla47	#pla63
41	1	#org25	#pla30
42	1	#per20	#per484
108	1	#per35	#pla73
769	1	#org2	#per26
109	1	#org7	#pla30
38	1	#pla192	#pla200
768	1	#org118	#pla182
94	1	#pla171	#pla192
96	1	#pla224	#pla226
97	1	#org70	#pla36
98	1	#org123	#per545
673	1	#per25	#per29
763	1	#org18	#pla84
113	1	#per537	#per538
37	1	#org2	#per17
101	1	#per504	#pla37
11	1	#org37	#pla200
12	1	#per527	#per550
850	1	#per17	#pla198
849	1	#per518	#pla171
848	1	#org13	#pla182
13	1	#pla176	#pla18
65	1	#pla182	#pla183
14	1	#per25	#per31
93	1	#per527	#pla209
92	1	#pla166	#pla213
754	1	#per26	#pla30
112	1	#org101	#per14
757	1	#per48	#per488
752	1	#per110	#per477
751	1	#pla194	#pla195
111	1	#per17	#per491
750	1	#per504	#pla33
749	1	#pla186	#pla3
748	1	#org118	#per526
747	1	#per544	#per545
110	1	#per545	#pla63
771	1	#per504	#per505
777	1	#per504	#per551
759	1	#pla160	#pla233
761	1	#per512	#pla8
775	1	#per494	#pla171
774	1	#per1	#per508
88	1	#per110	#per22
89	1	#per35	#wor1
772	1	#pla168	#pla169
66	1	#per14	#pla173
313	1	#pla210	#pla212
788	1	#org70	#pla173
541	1	#org5	#pla3
529	1	#org13	#per17
530	1	#per1	#pla33
304	1	#per28	#per504
305	1	#org12	#per95
543	1	#org16	#per10
306	1	#org16	#pla41
307	1	#per104	#per4
308	1	#pla18	#pla30
328	1	#per549	#pla200
15	1	#org122	#per526
540	1	#per486	#per487
538	1	#per110	#per28
537	1	#org50	#per128
536	1	#pla18	#pla4
535	1	#org8	#pla19
309	1	#org27	#pla152
533	1	#per14	#pla82
531	1	#org100	#per112
312	1	#org100	#per507
515	1	#per504	#per546
64	1	#per524	#pla191
316	1	#per554	#pla182
398	1	#per504	#pla70
388	1	#per532	#per534
301	1	#org13	#pla192
356	1	#org0	#per553
475	1	#per21	#per4
528	1	#per31	#per477
526	1	#per21	#pla24
525	1	#per21	#per39
319	1	#org110	#org526
327	1	#org8	#per519
320	1	#org16	#per507
523	1	#per504	#pla84
322	1	#org17	#pla61
522	1	#per527	#pla200
521	1	#org29	#per39
323	1	#pla3	#pla7
518	1	#org70	#pla7
517	1	#org37	#per493
539	1	#per517	#pla33
474	1	#org12	#pla176
329	1	#org	#per112
341	1	#per491	#per494
331	1	#org115	#per504
509	1	#org37	#per553
334	1	#org102	#org24
336	1	#org0	#per524
339	1	#per101	#per35
330	1	#per504	#per562
505	1	#pla167	#pla33
504	1	#org116	#per14
501	1	#per514	#pla41
512	1	#org101	#per1
500	1	#org37	#per48
498	1	#org8	#per558
497	1	#per2	#pla82
496	1	#org5	#pla30
340	1	#per543	#pla62
194	1	#org0	#pla171
646	1	#org100	#org3
192	1	#org78	#per3
510	1	#per26	#per497
511	1	#pla41	#pla51
495	1	#pla166	#pla82
344	1	#per13	#per21
345	1	#org12	#per17
488	1	#org29	#per25
347	1	#per26	#per496
487	1	#per23	#per504
348	1	#org	#org70
485	1	#per0	#per489
349	1	#per555	#wor1
483	1	#per546	#per550
482	1	#org115	#pla5
350	1	#org16	#pla181
479	1	#per504	#per523
352	1	#org3	#per485
354	1	#per525	#pla171
478	1	#org120	#per14
477	1	#per10	#pla2
491	1	#per533	#pla47
492	1	#per546	#per547
851	1	#org18	#per560
27	1	#per2	#pla78
845	1	#per504	#pla245
712	1	#per478	#per479
160	1	#org12	#per541
170	1	#per14	#per523
159	1	#per50	#pla4
698	1	#per1	#per10
710	1	#per28	#pla19
711	1	#per504	#per95
171	1	#org13	#pla5
172	1	#per524	#per544
173	1	#pla	#pla178
169	1	#per507	#per508
174	1	#org110	#pla191
697	1	#org78	#pla78
713	1	#org117	#per14
175	1	#org22	#pla8
157	1	#org118	#pla192
156	1	#org18	#pla18
726	1	#org103	#pla62
139	1	#per504	#per557
700	1	#org16	#org29
162	1	#oef22	#wor1
182	1	#per10	#per559
716	1	#org4	#per10
146	1	#pla172	#pla47
144	1	#pla233	#pla234
143	1	#per21	#per51
687	1	#org37	#pla178
142	1	#per544	#pla62
141	1	#per110	#per29
140	1	#org37	#pla153
690	1	#org37	#per35
695	1	#org18	#pla176
163	1	#org13	#pla33
715	1	#org100	#pla214
701	1	#per19	#pla41
166	1	#per1	#per2
704	1	#per10	#pla22
705	1	#pla191	#pla3
165	1	#org37	#pla227
164	1	#per21	#pla
707	1	#per501	#pla69
688	1	#org4	#pla81
727	1	#per566	#pla233
122	1	#per1	#per509
117	1	#org25	#per561
118	1	#per156	#per489
744	1	#per492	#per493
115	1	#pla173	#pla3
675	1	#org37	#per540
135	1	#org110	#pla63
731	1	#org50	#per522
728	1	#org8	#per518
729	1	#org37	#per533
138	1	#org24	#org7
743	1	#org16	#pla171
686	1	#org12	#per483
131	1	#per504	#pla213
674	1	#org27	#per21
130	1	#org3	#tim17
730	1	#org113	#pla2
677	1	#per17	#pla63
676	1	#org101	#per21
1330	1	#pla14	#pla199
121	1	#org115	#org14
732	1	#org	#per489
681	1	#per21	#per509
189	1	#org27	#pla171
742	1	#per1	#per558
186	1	#org37	#per558
127	1	#per546	#pla192
682	1	#pla176	#pla5
126	1	#pla173	#pla47
735	1	#org120	#org13
125	1	#org103	#org70
733	1	#org70	#org95
736	1	#org13	#prg100
119	1	#pla173	#pla231
679	1	#pla202	#pla204
741	1	#per512	#pla
737	1	#per19	#wor1
740	1	#org70	#pla159
738	1	#per14	#per156
188	1	#org70	#per495
124	1	#per21	#per477
167	1	#per101	#pla164
147	1	#per551	#pla30
844	1	#per18	#per512
30	1	#per25	#per39
8	1	#per533	#pla215
854	1	#org37	#per484
853	1	#org3	#per35
3	1	#per25	#per477
805	1	#pla186	#pla188
840	1	#org0	#per546
21	1	#org37	#per517
819	1	#pla33	#pla63
818	1	#oef22	#per14
4	1	#org104	#per504
31	1	#pla166	#pla63
817	1	#per548	#per550
816	1	#org37	#per491
815	1	#org0	#per560
820	1	#per489	#pla134
32	1	#pla51	#pla61
33	1	#per533	#pla213
811	1	#per558	#per560
6	1	#per149	#per489
857	1	#org110	#per10
689	1	#per25	#pla186
9	1	#org16	#org25
17	1	#pla202	#pla206
18	1	#org11	#per11
843	1	#org15	#per1
842	1	#per14	#per503
841	1	#org112	#pla2
16	1	#org37	#per528
19	1	#per21	#per515
852	1	#per489	#per501
1	1	#per21	#tim6
858	1	#per23	#per32
865	1	#org18	#pla7
864	1	#org100	#per563
863	1	#per564	#pla8
2	1	#org22	#per4
861	1	#org3	#per101
860	1	#per1	#per4
10	1	#per519	#pla171
859	1	#pla221	#pla222
35	1	#per544	#per546
810	1	#org8	#pla176
809	1	#org0	#per2
693	1	#org13	#pla215
745	1	#org37	#per561
765	1	#per48	#pla80
414	1	#per513	#pla41
155	1	#per42	#per566
176	1	#org115	#pla33
177	1	#per14	#per522
178	1	#org25	#pla2
179	1	#pla165	#pla166
150	1	#pla2	#pla63
808	1	#per10	#pla24
149	1	#per22	#per23
692	1	#org29	#pla134
180	1	#per112	#pla134
718	1	#per564	#pla24
181	1	#pla173	#pla229
694	1	#per14	#pla
